Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery","BatteryHolder_Keystone_3002_1x2032",156.000000,-130.000000,0.000000,top
"C1","0.1uF","CP_Radial_D5.0mm_P2.50mm",134.424025,-98.775712,0.000000,top
"C2","0.1uF","CP_Radial_D5.0mm_P2.50mm",135.000000,-106.400000,0.000000,top
"C3","2.7nF","CP_Radial_D5.0mm_P2.50mm",135.000000,-112.950000,0.000000,top
"C4","2.7nF","CP_Radial_D5.0mm_P2.50mm",135.000000,-119.500000,0.000000,top
"D6","LED","LED_D5.0mm",142.960000,-89.500000,0.000000,top
"D10","LED","LED_D5.0mm",165.960000,-89.500000,0.000000,top
"R1","470","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",139.690000,-82.000000,0.000000,top
"R2","470","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",162.690000,-81.000000,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm",176.500000,-126.500000,0.000000,top
"U1","XIAO-ESP32-C3-SMD","XIAO-ESP32-C3-SMD",146.880000,-117.632000,0.000000,top
"U2","AT42QT1010-M","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.5mm",130.000000,-90.250000,0.000000,top
"U3","AT42QT1010-M","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.5mm",176.000000,-90.250000,0.000000,top
